type,title,companyTitle,minSalary,maxSalary,workExperience,education,totalTag,companyPeople,workTag,welfare,imgSrc,city
.NET,.net开发工程师[新安],翌日科技,15000,25000,经验1-3年,本科,智能硬件 / C轮 / 150-500人,150-500,C++,年度旅游 全勤奖 五险一金 周末双休,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/22/B9/Ciqc1F7sbSOAPvJsAAD-EFH95mc021.jpg,深圳
.NET,.net小程序开发工程师[南山区],一米云站,3000,4000,经验在校,应届,消费生活 / 天使轮 / 15-50人,15-50,午餐补助/年终分红/绩效奖金/带薪年假,五险一金、 餐补、公司重点项目,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/45/5C/CgpFT1ljS2iAA7zFAAA5BiCxIlA761.jpg,深圳
.NET,.net开发工程师[福田区],遨聚士,12000,18000,经验3-5年,本科,"金融,软件开发 / 未融资 / 150-500人",150-500,IT技术服务｜咨询/计算机相关专业/财务系统/SQL,不加班 work life balance,https://www.lgstatic.com/thumbnail_120x120/images/logo_default.png,深圳
.NET,.net开发工程师[科技园],希捷尔人力资源,18000,25000,经验5-10年,本科,专业服务｜咨询 / 不需要融资 / 2000人以上,2000,物联网/智慧城市,双休 年终奖,https://www.lgstatic.com/thumbnail_120x120/i/image6/M00/62/C2/CioPOWGbZtOANTUoAAAGDI-MFf0391.png,深圳
java,Java实习生[西溪],知略科技,2000,4000,经验在校,应届,软件开发 / 不需要融资 / 15-50人,15-50,软件服务｜咨询/后端工程师,可转正,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/65/60/CgqCHl-ag_yAQxXtAACBK957Sf4426.png,杭州
java,Java实习生[西溪],知略科技,2000,4000,经验在校,应届,软件开发 / 不需要融资 / 15-50人,15-50,软件服务｜咨询/后端工程师,可转正,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/65/60/CgqCHl-ag_yAQxXtAACBK957Sf4426.png,杭州
java,JAVA工程师[滨江区],亚信科技,15000,30000,经验3-5年,本科,"软件服务｜咨询,IT技术服务｜咨询 / 上市公司 / 2000人以上",2000,软件服务｜咨询/Spring/移动服务端开发/电商平台/Web后端开发,上市、大厂,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/A1/42/CgotOVvS-F2ARLCqAAGhhVXKtLw993.jpg,杭州
java,java开发工程师[滨江区],亚信科技,10000,12000,经验1-3年,本科,"软件服务｜咨询,IT技术服务｜咨询 / 上市公司 / 2000人以上",2000,软件服务｜咨询/Hibernate/JavaScript/MySQL/Web前端开发,行业前景好，公司平台发展机会多，福利优厚,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/A1/42/CgotOVvS-F2ARLCqAAGhhVXKtLw993.jpg,杭州
java,java开发工程师[江南],汇合,15000,30000,经验3-5年,本科,科技金融 / 不需要融资 / 2000人以上,2000,科技金融/IT技术服务｜咨询/后端工程师/Web后端开发/计算机/软件工程相关专业,工作日/周末/节假日如加班均有加班费。,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/63/62/CgqCHl-WROWAat1JAAGHaTTaq_4840.png,杭州
java,高级JAVA开发工程师[余杭区],鲸灵集团,20000,28000,经验5-10年,本科,电商平台 / C轮 / 500-2000人,500-2000,Linux/MySQL/SQL Server/电商平台,"五险一金,福利多多,大牛带路,快速成长",https://www.lgstatic.com/thumbnail_120x120/i/image6/M01/47/01/CioPOWDNjGKAGhgIAAUKkj-piGo184.jpg,杭州
java,java开发工程师[和睦],中华财险创新研发中心,10000,20000,经验不限,本科,"科技金融,软件服务｜咨询 / 不需要融资 / 2000人以上",2000,保险/后端,六险一金、完善的福利体制,https://www.lgstatic.com/thumbnail_120x120/i/image3/M01/6B/C1/Cgq2xl5YtC-AdvF4AAAons_sf3Y927.png,杭州
java,Java[江南],汇合,15000,22000,经验3-5年,本科,科技金融 / 不需要融资 / 2000人以上,2000,Linux/科技金融/Spring,大佬带队 管理规范 五天七小时,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/63/62/CgqCHl-WROWAat1JAAGHaTTaq_4840.png,杭州
java,java高级开发工程师[和睦],中华财险创新研发中心,20000,35000,经验5-10年,本科,"科技金融,软件服务｜咨询 / 不需要融资 / 2000人以上",2000,保险/后端,六险一金、完善的福利体制,https://www.lgstatic.com/thumbnail_120x120/i/image3/M01/6B/C1/Cgq2xl5YtC-AdvF4AAAons_sf3Y927.png,杭州
java,Java开发工程师[滨江区],湖北承众人力资源有限公司,8000,12000,经验不限,大专,"专业服务｜咨询,营销服务｜咨询 / 不需要融资 / 150-500人",150-500,营销服务｜咨询/专业服务｜咨询,"五险一金,定期体检,绩效奖金",https://www.lgstatic.com/thumbnail_120x120/10/70d85e9a30b341cb9f39af7d35a49e3d.png,杭州
java,Java开发工程师[滨江区],上海柏巨电子科技有限公司,12000,15000,经验不限,本科,无,[0],,"五险一金,全勤奖,绩效奖金",https://www.lgstatic.com/thumbnail_120x120/10/32ad7910e9764ae49eea5aec313e8b29.png,杭州
java,java开发（后端）[杭州],平顶山翰格信息咨询有限公司,13000,19000,经验5-10年,本科,"专业服务｜咨询,营销服务｜咨询 / 不需要融资 / 少于15人",15,营销服务｜咨询/专业服务｜咨询,发展前景佳、团队实力强、老板nice,https://www.lgstatic.com/thumbnail_120x120/10/308dfcfb24354c68b6676a334f35309f.png,杭州
java,大数据java开发工程师[潮鸣],兴业数金,16000,22000,经验3-5年,本科,科技金融 / 不需要融资 / 500-2000人,500-2000,Hibernate/科技金融/架构师/金融业/Spring,六险一金，定期体验，团建,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/79/CC/CgotOVttVjSAesI6AAKE45VCRRc354.png,杭州
java,资深java[西溪],中电博亚,15000,30000,经验5-10年,本科,游戏 / A轮 / 50-150人,50-150,电商/游戏,五险一金 扁平管理 弹性工作 绩效奖金,https://www.lgstatic.com/thumbnail_120x120/image1/M00/00/25/Cgo8PFTUWICAewWaAAAv2OXvCvU257.jpg,杭州
java,java开发工程师（境外业务方向）[滨江区],招银网络科技,15000,30000,经验3-5年,本科,科技金融 / 不需要融资 / 2000人以上,2000,MySQL/科技金融/分布式/ORACLE,金融IT,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/A5/6B/Cgp3O1ir8wOAJzPbAAIHeppEuoE288.png,杭州
java,java开发工程师[古荡],亚信科技,10000,14000,经验1-3年,本科,"软件服务｜咨询,IT技术服务｜咨询 / 上市公司 / 2000人以上",2000,软件服务｜咨询/Linux/MySQL/IT技术服务｜咨询/Spring,岗位能接触较多前沿技术,https://www.lgstatic.com/thumbnail_120x120/i/image2/M01/A1/42/CgotOVvS-F2ARLCqAAGhhVXKtLw993.jpg,杭州
java,java开发工程师（境外业务方向）[滨江区],招银网络科技,15000,30000,经验3-5年,本科,科技金融 / 不需要融资 / 2000人以上,2000,MySQL/科技金融/分布式/ORACLE,金融IT,https://www.lgstatic.com/thumbnail_120x120/i/image/M00/A5/6B/Cgp3O1ir8wOAJzPbAAIHeppEuoE288.png,杭州
